grid_index,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,controlled_mean_target_mass,controlled_lift_vs_base,controlled_lift_vs_task_only,controlled_rank1_rate,controlled_median_target_margin,controlled_basic_gate_pass,wrong_key_mean_target_mass,wrong_key_lift_vs_base,wrong_key_rank1_rate,wrong_key_basic_gate_pass,wrong_payload_mean_target_mass,wrong_payload_lift_vs_base,wrong_payload_rank1_rate,wrong_payload_basic_gate_pass,overall_selective_gate_pass,path
23,2.0,0.5,0.5,0.2,0.05230733540374999,0.04186407625776091,0.04678331498221997,0.83056640625,0.010816201222041855,False,0.029134509536103956,0.018691250390114877,0.519775390625,False,0.00628164453000174,-0.0041616146159873385,0.221435546875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_23/r4_teacher_forced_surface_mass_summary.json
19,2.0,0.25,0.5,0.2,0.05227815821241455,0.04183489906642547,0.04675413779088453,0.809814453125,0.010117672121850774,False,0.02994585839988949,0.01950259925390041,0.52197265625,False,0.007935419446212066,-0.002507839699777012,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_19/r4_teacher_forced_surface_mass_summary.json
21,2.0,0.5,0.45,0.2,0.05205268564023058,0.0416094264942415,0.04652866521870056,0.83056640625,0.010816201222041855,False,0.02900765051295949,0.018564391366970412,0.519775390625,False,0.006283967649372835,-0.004159291496616244,0.221435546875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_21/r4_teacher_forced_surface_mass_summary.json
17,2.0,0.25,0.45,0.2,0.052023487632380405,0.04158022848639133,0.04649946721085039,0.809814453125,0.010117672121850774,False,0.029818971417767667,0.01937571227177859,0.52197265625,False,0.007937610040990972,-0.002505649104998106,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_17/r4_teacher_forced_surface_mass_summary.json
15,1.75,0.5,0.5,0.2,0.04525263467352125,0.034809375527532174,0.039728614251991236,0.809814453125,0.007900490396423265,False,0.025667232075814284,0.015223972929825205,0.52197265625,False,0.006311599767790388,-0.0041316593781986904,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_15/r4_teacher_forced_surface_mass_summary.json
11,1.75,0.25,0.5,0.2,0.045208791811403026,0.03476553266541395,0.03968477138987301,0.789306640625,0.0073216090895584784,False,0.026481152001292543,0.016037892855303465,0.52685546875,False,0.007986478437342542,-0.002456780708646536,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_11/r4_teacher_forced_surface_mass_summary.json
13,1.75,0.5,0.45,0.2,0.04499799286989947,0.034554733723910394,0.039473972448369456,0.809814453125,0.007900490396423265,False,0.025540379149700698,0.01509712000371162,0.52197265625,False,0.006313949412011799,-0.004129309733977279,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_13/r4_teacher_forced_surface_mass_summary.json
9,1.75,0.25,0.45,0.2,0.04495412361060702,0.034510864464617944,0.039430103189077005,0.789306640625,0.0073216090895584784,False,0.02635426970990963,0.015911010563920552,0.52685546875,False,0.007988692072541242,-0.002454567073447836,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_09/r4_teacher_forced_surface_mass_summary.json
18,2.0,0.25,0.5,0.1,0.04425869490593248,0.033815435759943405,0.038734674484402466,0.809814453125,0.010089602365042083,False,0.026015253173106365,0.015571994027117286,0.52197265625,False,0.00805305813711893,-0.002390201008870149,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_18/r4_teacher_forced_surface_mass_summary.json
22,2.0,0.5,0.5,0.1,0.044239877268775984,0.033796618122786906,0.03871585684724597,0.83056640625,0.010816201222041855,False,0.02519577999671606,0.01475252085072698,0.519775390625,False,0.006426364250036565,-0.004016894895952514,0.221435546875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_22/r4_teacher_forced_surface_mass_summary.json
