condition,coordinate_id,rows,target_surface_start_rate,any_bank_surface_start_rate,target_first_word_start_rate,any_bank_first_word_start_rate
protected,1,256,0.0,0.0,0.1484375,0.3203125
protected,4,256,0.0,0.0,0.0390625,0.3125
protected,6,256,0.0,0.0,0.046875,0.1640625
protected,7,256,0.0,0.0,0.140625,0.33203125
protected,8,256,0.0,0.0,0.02734375,0.27734375
protected,15,256,0.0,0.0,0.04296875,0.265625
protected,17,256,0.0,0.0,0.046875,0.1328125
protected,19,256,0.0,0.0,0.1171875,0.453125
protected,22,256,0.0,0.0,0.05078125,0.234375
protected,23,256,0.0,0.0,0.01171875,0.3203125
protected,26,256,0.0,0.0,0.06640625,0.171875
protected,31,256,0.0,0.0,0.078125,0.19140625
raw,1,256,0.0,0.0,0.00390625,0.00390625
raw,4,256,0.0,0.0,0.0,0.0
raw,6,256,0.0,0.0,0.0,0.078125
raw,7,256,0.0,0.0,0.01953125,0.0546875
raw,8,256,0.0,0.0,0.0,0.0
raw,15,256,0.0,0.0,0.0,0.0
raw,17,256,0.0,0.0,0.0,0.0
raw,19,256,0.0,0.0,0.0078125,0.02734375
raw,22,256,0.0,0.0,0.0,0.0
raw,23,256,0.0,0.0,0.0,0.00390625
raw,26,256,0.0,0.0,0.00390625,0.0546875
raw,31,256,0.0,0.0,0.0,0.0
task_only,1,256,0.0,0.0,0.0,0.00390625
task_only,4,256,0.0,0.0,0.0,0.0
task_only,6,256,0.0,0.0,0.0,0.078125
task_only,7,256,0.0,0.0,0.02734375,0.05078125
task_only,8,256,0.0,0.0,0.0,0.0
task_only,15,256,0.0,0.0,0.0,0.0
task_only,17,256,0.0,0.0,0.0,0.0
task_only,19,256,0.0,0.0,0.015625,0.03515625
task_only,22,256,0.0,0.0,0.0,0.0
task_only,23,256,0.0,0.0,0.0,0.00390625
task_only,26,256,0.0,0.0,0.0,0.05078125
task_only,31,256,0.0,0.0,0.0,0.0
