shard_id,scrub_mode,arm,blocks,accepts,forbidden_public_surface_count
shard_00,all,protected,1,0,0
shard_00,all,raw,1,0,1
shard_00,all,task_only,1,0,0
shard_00,all,wrong_key,1,0,0
shard_00,all,wrong_payload,1,0,0
shard_00,none,protected,1,0,0
shard_00,none,raw,1,0,1
shard_00,none,task_only,1,0,0
shard_00,none,wrong_key,1,0,0
shard_00,none,wrong_payload,1,0,0
shard_01,all,protected,1,0,1
shard_01,all,raw,1,0,1
shard_01,all,task_only,1,0,0
shard_01,all,wrong_key,1,0,1
shard_01,all,wrong_payload,1,0,1
shard_01,none,protected,1,0,1
shard_01,none,raw,1,0,1
shard_01,none,task_only,1,0,0
shard_01,none,wrong_key,1,0,1
shard_01,none,wrong_payload,1,0,1
shard_02,all,protected,1,0,1
shard_02,all,raw,1,0,4
shard_02,all,task_only,1,0,0
shard_02,all,wrong_key,1,0,1
shard_02,all,wrong_payload,1,0,1
shard_02,none,protected,1,0,1
shard_02,none,raw,1,0,4
shard_02,none,task_only,1,0,0
shard_02,none,wrong_key,1,0,1
shard_02,none,wrong_payload,1,0,1
shard_03,all,protected,1,0,4
shard_03,all,raw,1,0,2
shard_03,all,task_only,1,0,0
shard_03,all,wrong_key,1,0,4
shard_03,all,wrong_payload,1,0,4
shard_03,none,protected,1,0,4
shard_03,none,raw,1,0,2
shard_03,none,task_only,1,0,0
shard_03,none,wrong_key,1,0,4
shard_03,none,wrong_payload,1,0,4
