shard_id,condition,event_side,count
shard_00,raw,erasure,64
shard_00,task_only,erasure,64
shard_02,task_only,erasure,64
shard_03,protected,erasure,64
shard_03,raw,erasure,64
shard_03,task_only,erasure,64
shard_02,raw,erasure,63
shard_01,protected,erasure,54
shard_01,raw,erasure,51
shard_01,task_only,erasure,50
shard_02,protected,erasure,47
shard_00,protected,erasure,46
shard_00,protected,target,18
shard_02,protected,target,17
shard_01,task_only,other,14
shard_01,raw,other,13
shard_01,protected,target,7
shard_01,protected,other,3
shard_02,raw,target,1
