block_id,arm,source_condition,accept,accept_ignoring_quality,complete_pairs,required_pairs,decoded_bits,expected_bits,bits_match_condition,checksum_valid,forbidden_public_surface_count,duplicate_response_hash_count
shard_00_block_00,protected,protected,False,True,8,8,10100101,10100101,True,True,0,198
shard_00_block_00,raw,raw,False,False,2,8,-0-----0,10100101,False,False,1,256
shard_00_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,256
shard_00_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,198
shard_00_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,198
shard_01_block_00,protected,protected,False,True,8,8,10100101,10100101,True,True,1,186
shard_01_block_00,raw,raw,False,False,4,8,01-0---1,10100101,False,False,1,256
shard_01_block_00,task_only,task_only,False,False,5,8,0110---1,10100101,False,False,0,256
shard_01_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,1,186
shard_01_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,1,186
shard_02_block_00,protected,protected,False,True,8,8,10100101,10100101,True,True,1,181
shard_02_block_00,raw,raw,False,False,5,8,0110---1,10100101,False,False,4,256
shard_02_block_00,task_only,task_only,False,False,4,8,01-0---1,10100101,False,False,0,256
shard_02_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,1,181
shard_02_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,1,181
shard_03_block_00,protected,protected,False,True,8,8,10100101,10100101,True,True,4,190
shard_03_block_00,raw,raw,False,False,4,8,01-0---1,10100101,False,False,2,256
shard_03_block_00,task_only,task_only,False,False,4,8,01-0---1,10100101,False,False,0,256
shard_03_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,4,190
shard_03_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,4,190
