condition,coordinate_id,target,other,erasure,total,target_rate
protected,1,61,0,195,256,0.23828125
protected,3,0,0,256,256,0.0
protected,4,62,1,193,256,0.2421875
protected,6,16,0,240,256,0.0625
protected,7,57,0,199,256,0.22265625
protected,8,50,0,206,256,0.1953125
protected,10,0,0,256,256,0.0
protected,15,53,0,203,256,0.20703125
protected,17,42,0,214,256,0.1640625
protected,19,61,0,195,256,0.23828125
protected,20,1,1,254,256,0.00390625
protected,22,91,0,165,256,0.35546875
protected,23,77,0,179,256,0.30078125
protected,24,9,0,247,256,0.03515625
protected,26,31,0,225,256,0.12109375
protected,31,91,0,165,256,0.35546875
raw,1,0,0,256,256,0.0
raw,3,0,0,256,256,0.0
raw,4,0,1,255,256,0.0
raw,6,0,0,256,256,0.0
raw,7,0,0,256,256,0.0
raw,8,0,0,256,256,0.0
raw,10,0,0,256,256,0.0
raw,15,0,0,256,256,0.0
raw,17,0,0,256,256,0.0
raw,19,0,0,256,256,0.0
raw,20,0,1,255,256,0.0
raw,22,0,0,256,256,0.0
raw,23,0,0,256,256,0.0
raw,24,0,0,256,256,0.0
raw,26,0,0,256,256,0.0
raw,31,0,0,256,256,0.0
task_only,1,0,0,256,256,0.0
task_only,3,0,0,256,256,0.0
task_only,4,0,2,254,256,0.0
task_only,6,0,2,254,256,0.0
task_only,7,0,2,254,256,0.0
task_only,8,0,0,256,256,0.0
task_only,10,0,0,256,256,0.0
task_only,15,0,0,256,256,0.0
task_only,17,0,0,256,256,0.0
task_only,19,0,0,256,256,0.0
task_only,20,0,0,256,256,0.0
task_only,22,1,0,255,256,0.00390625
task_only,23,0,0,256,256,0.0
task_only,24,0,0,256,256,0.0
task_only,26,0,0,256,256,0.0
task_only,31,1,0,255,256,0.00390625
