JobID|JobName|State|Elapsed|ExitCode|Partition|QOS|AllocTRES
870103_0|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_0.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_0.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_4|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_4.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
