block_id,arm,source_condition,dry_run_decoder_accept,keyed_correlation_score,wrong_key_correlation_score,wrong_payload_correlation_score,specificity_margin,observed_events,distinct_coordinates,format_scrub_mode
shard_00_block_00,protected,protected,False,1.0,-1.0,-1.0,2.0,1,1,all
shard_00_block_00,wrong_key,protected,False,-1.0,1.0,-1.0,-2.0,1,1,all
shard_00_block_00,wrong_payload,protected,False,-1.0,-1.0,1.0,-2.0,1,1,all
shard_00_block_01,protected,protected,False,6.0,-6.0,-4.0,10.0,6,3,all
shard_00_block_01,wrong_key,protected,False,-6.0,6.0,-2.0,-12.0,6,3,all
shard_00_block_01,wrong_payload,protected,False,-4.0,-2.0,6.0,-10.0,6,3,all
shard_00_block_02,protected,protected,False,2.0,-2.0,-2.0,4.0,2,1,all
shard_00_block_02,wrong_key,protected,False,-2.0,2.0,-2.0,-4.0,2,1,all
shard_00_block_02,wrong_payload,protected,False,-2.0,-2.0,2.0,-4.0,2,1,all
shard_00_block_03,protected,protected,False,4.0,-4.0,0.0,4.0,4,3,all
shard_00_block_03,wrong_key,protected,False,-4.0,4.0,0.0,-8.0,4,3,all
shard_00_block_03,wrong_payload,protected,False,0.0,0.0,4.0,-4.0,4,3,all
shard_00_block_05,protected,protected,False,-1.0,-1.0,-1.0,0.0,1,1,all
shard_00_block_05,wrong_key,protected,False,-1.0,-1.0,1.0,-2.0,1,1,all
shard_00_block_05,wrong_payload,protected,False,-1.0,1.0,-1.0,-2.0,1,1,all
shard_00_block_06,protected,protected,False,2.0,-2.0,-2.0,4.0,2,2,all
shard_00_block_06,wrong_key,protected,False,-2.0,2.0,0.0,-4.0,2,2,all
shard_00_block_06,wrong_payload,protected,False,-2.0,0.0,2.0,-4.0,2,2,all
shard_01_block_00,protected,protected,False,1.0,-1.0,-1.0,2.0,1,1,all
shard_01_block_00,wrong_key,protected,False,-1.0,1.0,-1.0,-2.0,1,1,all
shard_01_block_00,wrong_payload,protected,False,-1.0,-1.0,1.0,-2.0,1,1,all
shard_01_block_01,protected,protected,False,2.0,-2.0,-2.0,4.0,2,1,all
shard_01_block_01,wrong_key,protected,False,-2.0,2.0,-2.0,-4.0,2,1,all
shard_01_block_01,wrong_payload,protected,False,-2.0,-2.0,2.0,-4.0,2,1,all
shard_01_block_02,protected,protected,False,0.0,-2.0,-2.0,2.0,2,2,all
shard_01_block_02,wrong_key,protected,False,-2.0,0.0,0.0,-2.0,2,2,all
shard_01_block_02,wrong_payload,protected,False,-2.0,0.0,0.0,-2.0,2,2,all
shard_01_block_03,protected,protected,False,1.0,-1.0,-1.0,2.0,3,2,all
shard_01_block_03,wrong_key,protected,False,-1.0,1.0,-1.0,-2.0,3,2,all
shard_01_block_03,wrong_payload,protected,False,-1.0,-1.0,1.0,-2.0,3,1,all
shard_01_block_05,protected,protected,False,3.0,-1.0,-3.0,4.0,3,2,all
shard_01_block_05,wrong_key,protected,False,-1.0,3.0,-1.0,-4.0,3,2,all
shard_01_block_05,wrong_payload,protected,False,-3.0,-1.0,3.0,-6.0,3,2,all
shard_01_block_06,protected,protected,False,1.0,-5.0,-5.0,6.0,5,2,all
shard_01_block_06,wrong_key,protected,False,-5.0,1.0,-1.0,-6.0,5,2,all
shard_01_block_06,wrong_payload,protected,False,-5.0,-1.0,1.0,-6.0,5,2,all
