condition,surface_family,event_count,fraction_within_condition
protected,plan,5063,0.8021229404309252
protected,maintenance,652,0.10329531051964512
protected,clarify,200,0.031685678073510776
protected,safety,167,0.026457541191381495
protected,learning,129,0.02043726235741445
protected,communicate,51,0.008079847908745247
protected,troubleshooting,45,0.007129277566539924
protected,quality,5,0.0007921419518377693
raw,plan,2821,0.7253792748778606
raw,maintenance,487,0.12522499357161224
raw,learning,197,0.05065569555155567
raw,safety,165,0.04242735921830805
raw,clarify,111,0.02854204165595269
raw,communicate,71,0.01825662123939316
raw,troubleshooting,35,0.008999742864489586
raw,quality,2,0.0005142710208279763
task_only,plan,2792,0.7265157429091855
task_only,maintenance,507,0.13192818110850899
task_only,learning,173,0.045016913869372885
task_only,safety,149,0.038771792870153525
task_only,clarify,114,0.02966432474629196
task_only,communicate,69,0.01795472287275566
task_only,troubleshooting,33,0.00858704137392662
task_only,quality,6,0.00156128024980484
