block_id,arm,source_condition,dry_run_decoder_accept,keyed_correlation_score,wrong_key_correlation_score,wrong_payload_correlation_score,specificity_margin,observed_events,distinct_coordinates,format_scrub_mode
shard_00_block_00,protected,protected,False,116.0,-140.0,-118.0,234.0,174,15,all
shard_00_block_00,wrong_key,protected,False,-140.0,116.0,144.0,-284.0,174,16,all
shard_00_block_00,wrong_payload,protected,False,-118.0,144.0,116.0,-262.0,174,18,all
shard_00_block_01,protected,protected,True,114.0,-138.0,-110.0,224.0,176,18,all
shard_00_block_01,wrong_key,protected,False,-138.0,114.0,128.0,-266.0,176,15,all
shard_00_block_01,wrong_payload,protected,False,-110.0,128.0,114.0,-238.0,176,16,all
shard_00_block_02,protected,protected,False,119.0,-137.0,-115.0,234.0,159,16,all
shard_00_block_02,wrong_key,protected,False,-137.0,119.0,129.0,-266.0,159,18,all
shard_00_block_02,wrong_payload,protected,False,-115.0,129.0,119.0,-244.0,159,14,all
shard_00_block_03,protected,protected,True,122.0,-140.0,-114.0,236.0,184,21,all
shard_00_block_03,wrong_key,protected,False,-140.0,122.0,128.0,-268.0,184,18,all
shard_00_block_03,wrong_payload,protected,False,-114.0,128.0,122.0,-242.0,184,21,all
shard_00_block_04,protected,protected,True,119.0,-129.0,-119.0,238.0,175,18,all
shard_00_block_04,wrong_key,protected,False,-129.0,119.0,137.0,-266.0,175,19,all
shard_00_block_04,wrong_payload,protected,False,-119.0,137.0,119.0,-256.0,175,18,all
shard_00_block_05,protected,protected,True,146.0,-154.0,-138.0,284.0,210,18,all
shard_00_block_05,wrong_key,protected,False,-154.0,146.0,162.0,-316.0,210,20,all
shard_00_block_05,wrong_payload,protected,False,-138.0,162.0,146.0,-300.0,210,17,all
shard_00_block_06,protected,protected,True,157.0,-175.0,-163.0,320.0,225,21,all
shard_00_block_06,wrong_key,protected,False,-175.0,157.0,189.0,-364.0,225,18,all
shard_00_block_06,wrong_payload,protected,False,-163.0,189.0,157.0,-352.0,225,14,all
shard_00_block_07,protected,protected,True,174.0,-176.0,-178.0,350.0,222,20,all
shard_00_block_07,wrong_key,protected,False,-176.0,174.0,192.0,-368.0,222,21,all
shard_00_block_07,wrong_payload,protected,False,-178.0,192.0,174.0,-370.0,222,20,all
shard_01_block_00,protected,protected,False,119.0,-125.0,-121.0,240.0,179,17,all
shard_01_block_00,wrong_key,protected,False,-125.0,119.0,133.0,-258.0,179,17,all
shard_01_block_00,wrong_payload,protected,False,-121.0,133.0,119.0,-254.0,179,14,all
shard_01_block_01,protected,protected,True,154.0,-156.0,-150.0,304.0,204,20,all
shard_01_block_01,wrong_key,protected,False,-156.0,154.0,162.0,-318.0,204,19,all
shard_01_block_01,wrong_payload,protected,False,-150.0,162.0,154.0,-312.0,204,21,all
shard_01_block_02,protected,protected,True,140.0,-144.0,-118.0,258.0,202,21,all
shard_01_block_02,wrong_key,protected,False,-144.0,140.0,138.0,-284.0,202,17,all
shard_01_block_02,wrong_payload,protected,False,-118.0,138.0,140.0,-258.0,202,17,all
shard_01_block_03,protected,protected,True,151.0,-147.0,-133.0,284.0,193,20,all
shard_01_block_03,wrong_key,protected,False,-147.0,151.0,151.0,-298.0,193,16,all
shard_01_block_03,wrong_payload,protected,False,-133.0,151.0,151.0,-284.0,193,16,all
shard_01_block_04,protected,protected,True,135.0,-125.0,-111.0,246.0,191,19,all
shard_01_block_04,wrong_key,protected,False,-125.0,135.0,131.0,-260.0,191,19,all
shard_01_block_04,wrong_payload,protected,False,-111.0,131.0,135.0,-246.0,191,18,all
shard_01_block_05,protected,protected,True,119.0,-145.0,-113.0,232.0,189,20,all
shard_01_block_05,wrong_key,protected,False,-145.0,119.0,143.0,-288.0,189,24,all
shard_01_block_05,wrong_payload,protected,False,-113.0,143.0,119.0,-256.0,189,18,all
shard_01_block_06,protected,protected,False,129.0,-143.0,-123.0,252.0,191,17,all
shard_01_block_06,wrong_key,protected,False,-143.0,129.0,153.0,-296.0,191,16,all
shard_01_block_06,wrong_payload,protected,False,-123.0,153.0,129.0,-276.0,191,19,all
shard_01_block_07,protected,protected,False,143.0,-179.0,-143.0,286.0,201,17,all
shard_01_block_07,wrong_key,protected,False,-179.0,143.0,183.0,-362.0,201,18,all
shard_01_block_07,wrong_payload,protected,False,-143.0,183.0,143.0,-326.0,201,14,all
shard_02_block_00,protected,protected,True,141.0,-161.0,-129.0,270.0,203,21,all
shard_02_block_00,wrong_key,protected,False,-161.0,141.0,167.0,-328.0,203,24,all
shard_02_block_00,wrong_payload,protected,False,-129.0,167.0,141.0,-296.0,203,21,all
shard_02_block_01,protected,protected,True,135.0,-127.0,-127.0,262.0,175,18,all
shard_02_block_01,wrong_key,protected,False,-127.0,135.0,127.0,-262.0,175,16,all
shard_02_block_01,wrong_payload,protected,False,-127.0,127.0,135.0,-262.0,175,18,all
shard_02_block_02,protected,protected,True,121.0,-123.0,-121.0,242.0,157,18,all
shard_02_block_02,wrong_key,protected,False,-123.0,121.0,135.0,-258.0,157,19,all
shard_02_block_02,wrong_payload,protected,False,-121.0,135.0,121.0,-256.0,157,21,all
shard_02_block_03,protected,protected,True,150.0,-120.0,-144.0,270.0,182,19,all
shard_02_block_03,wrong_key,protected,False,-120.0,150.0,156.0,-276.0,182,18,all
shard_02_block_03,wrong_payload,protected,False,-144.0,156.0,150.0,-300.0,182,18,all
shard_02_block_04,protected,protected,False,123.0,-113.0,-111.0,234.0,143,17,all
shard_02_block_04,wrong_key,protected,False,-113.0,123.0,121.0,-236.0,143,16,all
shard_02_block_04,wrong_payload,protected,False,-111.0,121.0,123.0,-234.0,143,17,all
shard_02_block_05,protected,protected,True,151.0,-127.0,-151.0,278.0,187,19,all
shard_02_block_05,wrong_key,protected,False,-127.0,151.0,145.0,-278.0,187,19,all
