block_id,arm,observed_events,distinct_coordinates,positive_keyed_events,negative_keyed_events,keyed_correlation_score,specificity_margin,top_positive_families,top_positive_surfaces
shard_00_block_00,raw,131,21,98,33,65.0,114.0,plan:77;safety:8;maintenance:6;learning:5;clarify:1;troubleshooting:1,r4sr_plan_00_00:72;r4sr_learning_01_04:4;r4sr_safety_04_01:4;r4sr_plan_03_00:3;r4sr_safety_04_05:2;r4sr_maintenance_04_06:2;r4sr_plan_05_07:1;r4sr_maintenance_03_00:1
shard_00_block_04,raw,123,20,98,25,73.0,140.0,plan:83;maintenance:8;learning:3;troubleshooting:2;safety:2,r4sr_plan_00_00:76;r4sr_plan_03_00:6;r4sr_troubleshooting_05_07:2;r4sr_safety_04_01:2;r4sr_maintenance_00_05:2;r4sr_maintenance_03_00:1;r4sr_maintenance_04_06:1;r4sr_learning_01_03:1
shard_00_block_06,raw,127,20,108,19,89.0,176.0,plan:93;maintenance:5;safety:3;troubleshooting:3;learning:2;quality:1;clarify:1,r4sr_plan_00_00:93;r4sr_troubleshooting_05_07:2;r4sr_maintenance_05_06:2;r4sr_learning_01_04:1;r4sr_safety_04_01:1;r4sr_quality_03_04:1;r4sr_clarify_03_07:1;r4sr_maintenance_03_00:1
shard_01_block_00,raw,104,19,81,23,58.0,116.0,plan:54;maintenance:20;safety:4;learning:1;clarify:1;troubleshooting:1,r4sr_plan_00_00:53;r4sr_maintenance_04_02:7;r4sr_maintenance_04_06:5;r4sr_safety_04_01:4;r4sr_maintenance_00_05:2;r4sr_maintenance_02_05:2;r4sr_maintenance_02_01:1;r4sr_maintenance_00_01:1
shard_01_block_01,raw,138,19,101,37,64.0,96.0,plan:66;maintenance:22;learning:6;safety:4;clarify:2;troubleshooting:1,r4sr_plan_00_00:66;r4sr_maintenance_04_06:10;r4sr_learning_01_04:5;r4sr_maintenance_03_06:5;r4sr_safety_04_01:3;r4sr_maintenance_02_05:2;r4sr_maintenance_02_06:2;r4sr_maintenance_00_01:2
shard_01_block_02,raw,97,18,68,29,39.0,70.0,plan:49;maintenance:16;learning:2;safety:1,r4sr_plan_00_00:45;r4sr_maintenance_04_06:6;r4sr_maintenance_04_02:4;r4sr_maintenance_03_06:4;r4sr_plan_03_00:2;r4sr_plan_05_07:2;r4sr_learning_01_04:2;r4sr_maintenance_00_02:1
shard_02_block_00,raw,102,18,71,31,40.0,80.0,plan:58;maintenance:6;learning:4;troubleshooting:1;safety:1;clarify:1,r4sr_plan_00_00:54;r4sr_maintenance_04_02:5;r4sr_plan_03_00:4;r4sr_learning_01_04:2;r4sr_troubleshooting_05_07:1;r4sr_safety_04_01:1;r4sr_maintenance_04_06:1;r4sr_clarify_03_07:1
shard_02_block_02,raw,109,19,85,24,61.0,104.0,plan:64;maintenance:13;learning:5;safety:2;clarify:1,r4sr_plan_00_00:62;r4sr_maintenance_02_05:4;r4sr_learning_01_04:3;r4sr_maintenance_02_02:3;r4sr_safety_04_01:2;r4sr_learning_01_07:1;r4sr_maintenance_00_02:1;r4sr_clarify_05_03:1
shard_02_block_04,raw,93,18,71,22,49.0,68.0,plan:47;learning:11;maintenance:9;safety:3;troubleshooting:1,r4sr_plan_00_00:46;r4sr_learning_01_04:6;r4sr_learning_01_07:3;r4sr_maintenance_02_02:3;r4sr_maintenance_02_05:3;r4sr_safety_04_05:2;r4sr_plan_03_00:1;r4sr_learning_05_00:1
shard_02_block_06,raw,137,18,98,39,59.0,98.0,plan:80;learning:10;maintenance:6;troubleshooting:2,r4sr_plan_00_00:72;r4sr_learning_01_04:8;r4sr_plan_03_00:4;r4sr_plan_05_07:3;r4sr_maintenance_02_02:2;r4sr_maintenance_02_05:2;r4sr_troubleshooting_05_07:2;r4sr_maintenance_04_06:1
