coordinate,protected_events,raw_events,task_only_events,protected_positive_events,raw_positive_events,task_only_positive_events,protected_positive_minus_max_null_positive
0,117,352,349,1,1,0,0
1,12,7,7,11,7,7,4
2,9,9,8,8,8,8,0
3,71,70,63,67,59,58,8
4,12,11,14,1,2,3,-2
5,18,23,36,8,8,12,-4
6,145,100,86,13,2,1,11
7,4,1,3,0,0,0,0
8,100,79,73,90,72,56,18
9,40,46,39,11,12,12,-1
10,114,91,94,3,1,3,0
11,88,45,37,4,4,2,0
12,43,52,50,4,6,3,-2
13,170,66,45,25,16,9,9
14,37,22,48,33,14,23,10
15,3,7,17,3,7,17,-14
16,93,75,74,81,49,39,32
17,126,79,95,112,72,81,31
18,5,2,3,5,2,3,2
19,7,3,3,7,1,3,4
20,84,61,94,83,60,92,-9
21,48,56,33,15,14,12,1
22,44,119,99,34,118,96,-84
23,25,51,40,1,2,2,-1
24,15,10,15,9,6,8,1
25,17,2,5,1,0,1,0
26,13,15,10,5,13,7,-8
27,22,29,23,0,5,0,-5
28,11,23,20,4,2,0,2
29,4539,2254,2204,4500,2250,2203,2250
30,243,126,141,222,106,127,95
31,37,3,15,32,3,13,19
