surface_id,surface_family,canonical_phrase,keyed_coordinate,keyed_polarity,protected_events,raw_events,task_only_events,protected_positive_events,raw_positive_events,task_only_positive_events,protected_event_rate,raw_event_rate,task_only_event_rate,protected_over_max_null_rate,diagnostic_selective_under_859277
r4sr_plan_00_00,plan,plan <within_8_tokens> plan,29,1,4487,2230,2180,4487,2230,2180,2.19091796875,1.0888671875,1.064453125,2.012108,False
r4sr_plan_03_00,plan,prepare <within_8_tokens> plan,30,1,217,103,121,217,103,121,0.10595703125,0.05029296875,0.05908203125,1.793388,False
r4sr_clarify_00_00,clarify,ask <within_8_tokens> question,13,-1,140,49,33,0,0,0,0.068359375,0.02392578125,0.01611328125,2.857143,False
r4sr_maintenance_00_06,maintenance,clean <within_8_tokens> tool,6,-1,127,98,85,0,0,0,0.06201171875,0.0478515625,0.04150390625,1.295918,False
r4sr_maintenance_00_00,maintenance,clean <within_8_tokens> area,10,-1,111,89,91,0,0,0,0.05419921875,0.04345703125,0.04443359375,1.219780,False
r4sr_plan_00_05,plan,plan <within_8_tokens> review,0,-1,110,343,347,0,0,0,0.0537109375,0.16748046875,0.16943359375,0.317003,False
r4sr_plan_04_00,plan,schedule <within_8_tokens> plan,11,-1,83,39,33,0,0,0,0.04052734375,0.01904296875,0.01611328125,2.128205,False
r4sr_maintenance_04_02,maintenance,store <within_8_tokens> item,20,1,82,60,91,82,60,91,0.0400390625,0.029296875,0.04443359375,0.901099,False
r4sr_maintenance_04_06,maintenance,store <within_8_tokens> tool,17,1,70,64,68,70,64,68,0.0341796875,0.03125,0.033203125,1.029412,False
r4sr_safety_04_01,safety,avoid <within_8_tokens> area,3,1,67,59,58,67,59,58,0.03271484375,0.02880859375,0.0283203125,1.135593,False
r4sr_maintenance_00_05,maintenance,clean <within_8_tokens> repair,8,1,56,24,16,56,24,16,0.02734375,0.01171875,0.0078125,2.333333,False
r4sr_maintenance_00_02,maintenance,clean <within_8_tokens> item,16,1,52,21,17,52,21,17,0.025390625,0.01025390625,0.00830078125,2.476190,False
r4sr_plan_00_04,plan,plan <within_8_tokens> handoff,17,1,39,2,8,39,2,8,0.01904296875,0.0009765625,0.00390625,4.875000,False
r4sr_plan_03_04,plan,prepare <within_8_tokens> handoff,29,-1,39,1,1,0,0,0,0.01904296875,0.00048828125,0.00048828125,39.000000,False
r4sr_learning_01_04,learning,review <within_8_tokens> feedback,22,1,32,112,95,32,112,95,0.015625,0.0546875,0.04638671875,0.285714,False
r4sr_safety_04_00,safety,avoid <within_8_tokens> hazard,21,-1,31,41,21,0,0,0,0.01513671875,0.02001953125,0.01025390625,0.756098,False
r4sr_maintenance_02_06,maintenance,replace <within_8_tokens> tool,31,1,27,3,12,27,3,12,0.01318359375,0.00146484375,0.005859375,2.250000,False
r4sr_plan_02_00,plan,set <within_8_tokens> plan,14,1,26,14,21,26,14,21,0.0126953125,0.0068359375,0.01025390625,1.238095,False
r4sr_communicate_04_04,communicate,document <within_8_tokens> decision,23,-1,24,49,38,0,0,0,0.01171875,0.02392578125,0.0185546875,0.489796,False
r4sr_maintenance_00_01,maintenance,clean <within_8_tokens> part,13,1,22,14,6,22,14,6,0.0107421875,0.0068359375,0.0029296875,1.571429,False
r4sr_troubleshooting_05_07,troubleshooting,check <within_8_tokens> connection,16,1,21,23,19,21,23,19,0.01025390625,0.01123046875,0.00927734375,0.913043,False
r4sr_maintenance_02_05,maintenance,replace <within_8_tokens> repair,8,1,18,20,16,18,20,16,0.0087890625,0.009765625,0.0078125,0.900000,False
r4sr_plan_04_05,plan,schedule <within_8_tokens> review,12,-1,17,25,15,0,0,0,0.00830078125,0.01220703125,0.00732421875,0.680000,False
r4sr_clarify_05_04,clarify,identify <within_8_tokens> risk,30,-1,16,19,13,0,0,0,0.0078125,0.00927734375,0.00634765625,0.842105,False
r4sr_learning_00_00,learning,practice <within_8_tokens> skill,25,-1,16,1,4,0,0,0,0.0078125,0.00048828125,0.001953125,4.000000,False
r4sr_safety_04_04,safety,avoid <within_8_tokens> part,9,-1,16,31,25,0,0,0,0.0078125,0.01513671875,0.01220703125,0.516129,False
r4sr_maintenance_02_02,maintenance,replace <within_8_tokens> item,21,1,15,14,11,15,14,11,0.00732421875,0.0068359375,0.00537109375,1.071429,False
r4sr_safety_05_02,safety,choose <within_8_tokens> option,27,-1,14,3,3,0,0,0,0.0068359375,0.00146484375,0.00146484375,4.666667,False
r4sr_maintenance_03_06,maintenance,inspect <within_8_tokens> tool,29,1,13,20,23,13,20,23,0.00634765625,0.009765625,0.01123046875,0.565217,False
r4sr_learning_01_07,learning,review <within_8_tokens> area,8,1,11,26,21,11,26,21,0.00537109375,0.0126953125,0.01025390625,0.423077,False
r4sr_learning_05_07,learning,track <within_8_tokens> area,12,-1,11,15,26,0,0,0,0.00537109375,0.00732421875,0.0126953125,0.423077,False
r4sr_maintenance_04_00,maintenance,store <within_8_tokens> area,16,-1,11,26,34,0,0,0,0.00537109375,0.0126953125,0.0166015625,0.323529,False
r4sr_safety_03_00,safety,protect <within_8_tokens> hazard,9,-1,11,3,2,0,0,0,0.00537109375,0.00146484375,0.0009765625,3.666667,False
r4sr_communicate_00_00,communicate,share <within_8_tokens> update,17,-1,10,3,6,0,0,0,0.0048828125,0.00146484375,0.0029296875,1.666667,False
r4sr_maintenance_02_01,maintenance,replace <within_8_tokens> part,1,1,10,7,7,10,7,7,0.0048828125,0.00341796875,0.00341796875,1.428571,False
r4sr_troubleshooting_05_05,troubleshooting,check <within_8_tokens> part,4,-1,10,7,4,0,0,0,0.0048828125,0.00341796875,0.001953125,1.428571,False
r4sr_plan_02_05,plan,set <within_8_tokens> review,8,-1,9,7,17,0,0,0,0.00439453125,0.00341796875,0.00830078125,0.529412,False
r4sr_communicate_04_00,communicate,document <within_8_tokens> update,5,-1,8,14,21,0,0,0,0.00390625,0.0068359375,0.01025390625,0.380952,False
r4sr_clarify_04_03,clarify,compare <within_8_tokens> option,6,1,7,1,1,7,1,1,0.00341796875,0.00048828125,0.00048828125,7.000000,False
r4sr_learning_01_06,learning,review <within_8_tokens> improvement,9,1,7,12,12,7,12,12,0.00341796875,0.005859375,0.005859375,0.583333,False
r4sr_learning_02_02,learning,explain <within_8_tokens> idea,22,-1,7,0,1,0,0,0,0.00341796875,0.0,0.00048828125,7.000000,False
r4sr_safety_04_05,safety,avoid <within_8_tokens> risk,5,1,7,8,12,7,8,12,0.00341796875,0.00390625,0.005859375,0.583333,False
r4sr_learning_04_04,learning,repeat <within_8_tokens> feedback,14,1,6,0,0,6,0,0,0.0029296875,0.0,0.0,inf,False
r4sr_learning_05_06,learning,track <within_8_tokens> improvement,2,1,5,6,4,5,6,4,0.00244140625,0.0029296875,0.001953125,0.833333,False
r4sr_plan_02_04,plan,set <within_8_tokens> handoff,30,1,5,2,6,5,2,6,0.00244140625,0.0009765625,0.0029296875,0.833333,False
r4sr_plan_05_07,plan,define <within_8_tokens> scope,26,1,5,13,6,5,13,6,0.00244140625,0.00634765625,0.0029296875,0.384615,False
r4sr_safety_04_07,safety,avoid <within_8_tokens> access,28,-1,5,15,16,0,0,0,0.00244140625,0.00732421875,0.0078125,0.312500,False
r4sr_clarify_01_02,clarify,confirm <within_8_tokens> detail,14,-1,4,8,24,0,0,0,0.001953125,0.00390625,0.01171875,0.166667,False
r4sr_clarify_02_00,clarify,check <within_8_tokens> question,26,-1,4,1,0,0,0,0,0.001953125,0.00048828125,0.0,4.000000,False
r4sr_clarify_05_07,clarify,identify <within_8_tokens> goal,16,1,4,5,3,4,5,3,0.001953125,0.00244140625,0.00146484375,0.800000,False
r4sr_communicate_00_04,communicate,share <within_8_tokens> decision,24,1,4,2,2,4,2,2,0.001953125,0.0009765625,0.0009765625,2.000000,False
r4sr_communicate_01_04,communicate,explain <within_8_tokens> decision,11,1,4,1,0,4,1,0,0.001953125,0.00048828125,0.0,4.000000,False
r4sr_learning_05_01,learning,track <within_8_tokens> example,31,1,4,0,0,4,0,0,0.001953125,0.0,0.0,inf,False
r4sr_learning_05_05,learning,track <within_8_tokens> approach,16,1,4,0,0,4,0,0,0.001953125,0.0,0.0,inf,False
