coordinate_id,target_bits,record_count,mean_protected_lift_vs_base,median_protected_lift_vs_base,positive_lift_vs_base_rate,mean_protected_lift_vs_task_only,median_protected_lift_vs_task_only,positive_lift_vs_task_only_rate,mean_protected_target_mass,median_protected_target_mass,p95_protected_target_mass,positive_protected_margin_rate
0,1,256,-0.00012690645337615214,-9.53900553213316e-06,0.37890625,-5.642883403182697e-05,4.753641619004156e-06,0.66015625,6.735127073254077e-05,3.379188638064079e-05,0.00025618908694013953,0.69140625
1,0,256,-0.0002806839544220452,-0.00010863731586141512,0.01953125,-0.0014481338395206933,-0.00022153172903927043,0.1953125,0.00010841361770985714,7.724659371888265e-05,0.0002622173633426428,1.0
2,1,256,-0.00014036925702723413,-5.63022558708326e-06,0.41015625,-8.146445609791275e-05,5.741469664144461e-06,0.7109375,6.425238447782533e-05,2.9690465453313664e-05,0.00024851912166923285,0.64453125
3,0,256,-0.0002907716505156088,-0.0001167521440947894,0.05078125,-0.0015385568498187396,-0.0002317863873031456,0.1953125,0.00011464547581496731,7.938559792819433e-05,0.0003209737769793719,1.0
4,0,256,5.459425226672643e-06,4.996060965822835e-06,0.80859375,3.17331640725671e-06,6.985026118400128e-06,0.83203125,2.2654476975247917e-05,1.589194653206505e-05,7.124469993868843e-05,0.30859375
5,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
6,0,256,3.7793541632913374e-06,5.2245444521759055e-06,0.80078125,1.419200002350518e-06,7.563582371972188e-06,0.84765625,2.4501465711423975e-05,1.3972928627481451e-05,8.261838229373097e-05,0.35546875
7,1,256,-8.900850410609173e-07,-3.6182728990752366e-07,0.1875,-8.121820381720712e-07,-5.504308120407586e-08,0.45703125,1.1977530489648558e-06,1.0678068065317348e-06,2.640316097313189e-06,0.0
8,0,256,5.459425226672643e-06,4.996060965822835e-06,0.80859375,3.17331640725671e-06,6.985026118400128e-06,0.83203125,2.2654476975247917e-05,1.589194653206505e-05,7.124469993868843e-05,0.30859375
9,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
10,0,256,3.7793541632913374e-06,5.2245444521759055e-06,0.80078125,1.419200002350518e-06,7.563582371972188e-06,0.84765625,2.4501465711423975e-05,1.3972928627481451e-05,8.261838229373097e-05,0.35546875
11,1,256,-8.900850410609173e-07,-3.6182728990752366e-07,0.1875,-8.121820381720712e-07,-5.504308120407586e-08,0.45703125,1.1977530489648558e-06,1.0678068065317348e-06,2.640316097313189e-06,0.0
12,1,256,-0.00012690645337615214,-9.53900553213316e-06,0.37890625,-5.642883403182697e-05,4.753641619004156e-06,0.66015625,6.735127073254077e-05,3.379188638064079e-05,0.00025618908694013953,0.69140625
13,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
14,1,256,-0.00014036925702723413,-5.63022558708326e-06,0.41015625,-8.146445609791275e-05,5.741469664144461e-06,0.7109375,6.425238447782533e-05,2.9690465453313664e-05,0.00024851912166923285,0.64453125
15,0,256,-0.0002907716505156088,-0.0001167521440947894,0.05078125,-0.0015385568498187396,-0.0002317863873031456,0.1953125,0.00011464547581496731,7.938559792819433e-05,0.0003209737769793719,1.0
16,1,256,-0.00012690645337615214,-9.53900553213316e-06,0.37890625,-5.642883403182697e-05,4.753641619004156e-06,0.66015625,6.735127073254077e-05,3.379188638064079e-05,0.00025618908694013953,0.69140625
17,0,256,-0.0002806839544220452,-0.00010863731586141512,0.01953125,-0.0014481338395206933,-0.00022153172903927043,0.1953125,0.00010841361770985714,7.724659371888265e-05,0.0002622173633426428,1.0
18,1,256,-0.00014036925702723413,-5.63022558708326e-06,0.41015625,-8.146445609791275e-05,5.741469664144461e-06,0.7109375,6.425238447782533e-05,2.9690465453313664e-05,0.00024851912166923285,0.64453125
19,0,256,-0.0002907716505156088,-0.0001167521440947894,0.05078125,-0.0015385568498187396,-0.0002317863873031456,0.1953125,0.00011464547581496731,7.938559792819433e-05,0.0003209737769793719,1.0
20,0,256,5.459425226672643e-06,4.996060965822835e-06,0.80859375,3.17331640725671e-06,6.985026118400128e-06,0.83203125,2.2654476975247917e-05,1.589194653206505e-05,7.124469993868843e-05,0.30859375
21,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
22,0,256,3.7793541632913374e-06,5.2245444521759055e-06,0.80078125,1.419200002350518e-06,7.563582371972188e-06,0.84765625,2.4501465711423975e-05,1.3972928627481451e-05,8.261838229373097e-05,0.35546875
23,1,256,-8.900850410609173e-07,-3.6182728990752366e-07,0.1875,-8.121820381720712e-07,-5.504308120407586e-08,0.45703125,1.1977530489648558e-06,1.0678068065317348e-06,2.640316097313189e-06,0.0
24,0,256,5.459425226672643e-06,4.996060965822835e-06,0.80859375,3.17331640725671e-06,6.985026118400128e-06,0.83203125,2.2654476975247917e-05,1.589194653206505e-05,7.124469993868843e-05,0.30859375
25,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
26,0,256,3.7793541632913374e-06,5.2245444521759055e-06,0.80078125,1.419200002350518e-06,7.563582371972188e-06,0.84765625,2.4501465711423975e-05,1.3972928627481451e-05,8.261838229373097e-05,0.35546875
27,1,256,-8.900850410609173e-07,-3.6182728990752366e-07,0.1875,-8.121820381720712e-07,-5.504308120407586e-08,0.45703125,1.1977530489648558e-06,1.0678068065317348e-06,2.640316097313189e-06,0.0
28,1,256,-0.00012690645337615214,-9.53900553213316e-06,0.37890625,-5.642883403182697e-05,4.753641619004156e-06,0.66015625,6.735127073254077e-05,3.379188638064079e-05,0.00025618908694013953,0.69140625
29,1,256,-8.240111629143065e-07,-2.973884534185345e-07,0.23828125,-7.3197918955617e-07,-7.183314210124081e-08,0.46484375,1.2174009614840386e-06,1.1675325595206232e-06,2.555644641688559e-06,0.0
30,1,256,-0.00014036925702723413,-5.63022558708326e-06,0.41015625,-8.146445609791275e-05,5.741469664144461e-06,0.7109375,6.425238447782533e-05,2.9690465453313664e-05,0.00024851912166923285,0.64453125
31,0,256,-0.0002907716505156088,-0.0001167521440947894,0.05078125,-0.0015385568498187396,-0.0002317863873031456,0.1953125,0.00011464547581496731,7.938559792819433e-05,0.0003209737769793719,1.0
