target_surface,record_count,mean_protected_lift_vs_base,median_protected_lift_vs_base,positive_lift_vs_base_rate,mean_protected_lift_vs_task_only,median_protected_lift_vs_task_only,positive_lift_vs_task_only_rate,mean_protected_target_mass,median_protected_target_mass,p95_protected_target_mass,positive_protected_margin_rate
build a clear routine,640,-1.8086772616943137e-06,-7.383308116004628e-07,0.075,-1.6750932997661172e-06,-6.70855158091399e-08,0.4625,9.937777313062667e-07,9.488352930020483e-07,2.045272594841663e-06,0.0
choose a simple option,640,-2.749299546245254e-07,-2.076394025607442e-07,0.18125,4.615049444822716e-08,3.2496075164090144e-08,0.534375,8.496972923488499e-07,6.367544642671419e-07,1.8665534753381507e-06,0.0
finish the task,640,-3.7891610915608e-07,-1.9745607460208703e-07,0.409375,-2.572060915806418e-07,1.7460047274653334e-07,0.55625,1.8474626305220453e-06,1.6767381794124958e-06,3.2191692298511043e-06,0.0
make a small adjustment,640,-9.392395312168845e-07,-6.702686050630291e-07,0.20625,-1.1700924191115902e-06,-4.0156905356525385e-07,0.29375,1.1472295317283e-06,1.1920860742975492e-06,2.3048971797834383e-06,0.0
check the details,512,5.151136673209322e-06,5.191904392631841e-06,0.90625,1.1921977026707609e-06,7.563582371972188e-06,0.921875,2.249186227221145e-05,1.365804428132833e-05,7.250650378409773e-05,0.3203125
clarify the next move,512,-0.0001127226911035728,-2.3879589207354002e-05,0.265625,-8.445841040383845e-05,5.183818814202823e-07,0.5234375,2.8950378379022368e-05,2.317648977623321e-05,8.242802869062871e-05,0.4921875
confirm the timing,512,1.0008218455537232e-05,7.597172498208238e-06,0.9921875,1.1095299996211061e-05,8.740503915305453e-06,0.9609375,2.4339024188080316e-05,1.4481985544989584e-05,7.925192039692774e-05,0.40625
explain the reason,512,-0.00030314271809483984,-0.00012682438864430878,0.2265625,-0.00011225202484534819,2.8052194778638295e-05,0.7265625,0.00015909154743098952,0.00014201289741322398,0.00039689033292233944,0.90625
prepare the materials,512,-3.2231300561846865e-07,4.947870820615208e-06,0.7421875,-7.125669836294257e-06,9.54416799459068e-06,0.84375,3.161059977951908e-05,2.081070670101326e-05,9.411790233571082e-05,0.5078125
review the plan,512,3.640516656799875e-06,1.9170337992591158e-06,0.578125,4.023204956626891e-06,3.390518031665124e-06,0.6328125,1.5870399133532942e-05,1.0142808150703786e-05,4.7831730626057833e-05,0.09375
share the update,512,-0.0001179486016582576,-1.8586395526654087e-05,0.3203125,-9.19618007539369e-05,1.6285596196041752e-06,0.5625,5.0817606751962785e-05,4.280507346265949e-05,0.00015515087579842657,0.6796875
summarize the issue,512,-7.374099501022968e-07,2.2843470617317507e-06,0.765625,1.2885655743644087e-05,9.375066269967647e-06,0.9296875,2.4347777858757524e-05,1.6858850358403288e-05,8.389383583562449e-05,0.59375
keep notes,384,-0.0003682389737965271,-0.00015846997303015087,0.052083333333333336,-0.002932247718611336,-0.0005844444713147823,0.296875,8.540556065857648e-05,6.0301172197796404e-05,0.0002570834185462445,1.0
organize the details,384,-0.000212456957986736,-0.00010550186925684102,0.026041666666666668,-0.000419294524211485,-8.692892515682615e-05,0.234375,9.706316769590255e-05,7.04247213434428e-05,0.00019958677876275033,1.0
record the choice,384,-0.00020287350676539972,-9.365054938825779e-05,0.0625,-0.0005628648114045139,-0.00014275173089117743,0.20833333333333334,0.00014664263871585112,0.00011459663073765114,0.00039897189708426595,1.0
track progress,384,-0.00036606690205568765,-0.00012762037658831105,0.020833333333333332,-0.0021192563313168953,-0.00032295102573698387,0.041666666666666664,0.0001211613920493922,8.940784027799964e-05,0.0003485698834992945,1.0
