budget,source_condition,step_index,observed_bucket_0_count,observed_bucket_1_count,resolved_count,majority_bit,majority_margin
8,protected,1,0,8,8,1,8
8,protected,2,8,0,8,0,8
8,protected,3,0,7,7,1,7
8,protected,4,8,0,8,0,8
8,protected,5,8,0,8,0,8
8,protected,6,2,1,3,0,1
8,protected,7,5,0,5,0,5
8,protected,8,0,6,6,1,6
8,protected,9,6,1,7,0,5
8,protected,10,0,5,5,1,5
8,protected,11,8,0,8,0,8
8,protected,12,0,7,7,1,7
8,protected,13,1,7,8,1,6
8,protected,14,0,6,6,1,6
8,protected,15,1,7,8,1,6
8,protected,16,8,0,8,0,8
8,raw,1,0,0,0,,0
8,raw,2,1,1,2,1,0
8,raw,3,0,3,3,1,3
8,raw,4,2,3,5,1,1
8,raw,5,1,0,1,0,1
8,raw,6,1,1,2,0,0
8,raw,7,1,0,1,0,1
8,raw,8,1,0,1,0,1
8,raw,9,1,0,1,0,1
8,raw,10,1,2,3,1,1
8,raw,11,3,1,4,0,2
8,raw,12,2,0,2,0,2
8,raw,13,2,0,2,0,2
8,raw,14,0,1,1,1,1
8,raw,15,0,2,2,1,2
8,raw,16,0,0,0,,0
8,task_only,1,0,0,0,,0
8,task_only,2,1,4,5,1,3
8,task_only,3,0,2,2,1,2
8,task_only,4,1,1,2,0,0
8,task_only,5,1,0,1,0,1
8,task_only,6,2,0,2,0,2
8,task_only,7,2,0,2,0,2
8,task_only,8,0,1,1,1,1
8,task_only,9,0,0,0,,0
8,task_only,10,2,1,3,0,1
8,task_only,11,2,0,2,0,2
8,task_only,12,1,0,1,0,1
8,task_only,13,1,1,2,1,0
8,task_only,14,1,0,1,0,1
8,task_only,15,1,1,2,0,0
8,task_only,16,1,0,1,0,1
16,protected,1,0,16,16,1,16
16,protected,2,16,0,16,0,16
16,protected,3,0,12,12,1,12
16,protected,4,14,0,14,0,14
16,protected,5,15,0,15,0,15
16,protected,6,5,2,7,0,3
16,protected,7,8,0,8,0,8
16,protected,8,0,12,12,1,12
16,protected,9,13,1,14,0,12
16,protected,10,1,11,12,1,10
16,protected,11,14,0,14,0,14
16,protected,12,1,13,14,1,12
16,protected,13,1,14,15,1,13
16,protected,14,1,12,13,1,11
16,protected,15,2,14,16,1,12
16,protected,16,16,0,16,0,16
16,raw,1,0,0,0,,0
16,raw,2,1,5,6,1,4
16,raw,3,0,5,5,1,5
16,raw,4,5,4,9,0,1
16,raw,5,1,0,1,0,1
16,raw,6,2,2,4,0,0
16,raw,7,2,0,2,0,2
16,raw,8,6,0,6,0,6
16,raw,9,2,2,4,0,0
16,raw,10,2,3,5,1,1
16,raw,11,4,2,6,0,2
16,raw,12,3,1,4,0,2
16,raw,13,4,0,4,0,4
16,raw,14,2,2,4,1,0
16,raw,15,2,2,4,1,0
16,raw,16,0,0,0,,0
16,task_only,1,0,0,0,,0
16,task_only,2,1,9,10,1,8
16,task_only,3,1,2,3,1,1
16,task_only,4,3,2,5,0,1
16,task_only,5,2,0,2,0,2
16,task_only,6,4,0,4,0,4
16,task_only,7,2,1,3,0,1
16,task_only,8,2,2,4,1,0
16,task_only,9,0,0,0,,0
16,task_only,10,3,2,5,0,1
16,task_only,11,3,3,6,0,0
16,task_only,12,1,1,2,0,0
16,task_only,13,2,1,3,0,1
16,task_only,14,3,0,3,0,3
16,task_only,15,4,1,5,0,3
16,task_only,16,1,0,1,0,1
32,protected,1,0,32,32,1,32
32,protected,2,32,0,32,0,32
32,protected,3,0,27,27,1,27
32,protected,4,28,0,28,0,28
32,protected,5,30,0,30,0,30
32,protected,6,7,8,15,1,1
32,protected,7,17,2,19,0,15
32,protected,8,4,17,21,1,13
32,protected,9,22,3,25,0,19
32,protected,10,4,18,22,1,14
32,protected,11,28,2,30,0,26
32,protected,12,3,24,27,1,21
32,protected,13,3,25,28,1,22
32,protected,14,3,25,28,1,22
32,protected,15,4,27,31,1,23
32,protected,16,32,0,32,0,32
32,raw,1,0,0,0,,0
32,raw,2,2,12,14,1,10
32,raw,3,2,5,7,1,3
32,raw,4,6,5,11,0,1
32,raw,5,5,1,6,0,4
32,raw,6,3,3,6,0,0
32,raw,7,3,0,3,0,3
32,raw,8,8,0,8,0,8
32,raw,9,5,5,10,0,0
32,raw,10,4,3,7,0,1
32,raw,11,5,2,7,0,3
32,raw,12,3,1,4,0,2
32,raw,13,4,3,7,0,1
32,raw,14,3,2,5,0,1
32,raw,15,5,2,7,0,3
32,raw,16,1,0,1,0,1
32,task_only,1,0,0,0,,0
32,task_only,2,2,16,18,1,14
32,task_only,3,4,2,6,0,2
32,task_only,4,5,4,9,0,1
32,task_only,5,4,0,4,0,4
32,task_only,6,5,2,7,0,3
32,task_only,7,4,3,7,0,1
32,task_only,8,4,2,6,0,2
32,task_only,9,4,0,4,0,4
32,task_only,10,3,3,6,0,0
32,task_only,11,6,3,9,0,3
32,task_only,12,1,1,2,0,0
32,task_only,13,3,2,5,0,1
32,task_only,14,3,0,3,0,3
32,task_only,15,6,1,7,0,5
32,task_only,16,1,0,1,0,1
64,protected,1,0,64,64,1,64
64,protected,2,64,0,64,0,64
64,protected,3,1,57,58,1,56
64,protected,4,56,0,56,0,56
64,protected,5,60,0,60,0,60
64,protected,6,15,18,33,1,3
64,protected,7,35,8,43,0,27
64,protected,8,8,28,36,1,20
64,protected,9,41,7,48,0,34
64,protected,10,9,38,47,1,29
64,protected,11,54,5,59,0,49
64,protected,12,6,48,54,1,42
64,protected,13,7,50,57,1,43
64,protected,14,6,49,55,1,43
64,protected,15,8,55,63,1,47
64,protected,16,63,1,64,0,62
64,raw,1,2,0,2,0,2
64,raw,2,4,19,23,1,15
64,raw,3,6,9,15,1,3
64,raw,4,8,10,18,1,2
64,raw,5,13,3,16,0,10
64,raw,6,5,8,13,1,3
64,raw,7,7,3,10,0,4
64,raw,8,12,5,17,0,7
64,raw,9,12,8,20,0,4
64,raw,10,7,4,11,0,3
64,raw,11,9,4,13,0,5
64,raw,12,5,3,8,0,2
64,raw,13,7,3,10,0,4
64,raw,14,7,3,10,0,4
64,raw,15,7,4,11,0,3
64,raw,16,3,1,4,0,2
64,task_only,1,3,0,3,0,3
64,task_only,2,4,25,29,1,21
64,task_only,3,7,3,10,0,4
64,task_only,4,7,9,16,1,2
64,task_only,5,14,2,16,0,12
64,task_only,6,7,6,13,0,1
64,task_only,7,11,7,18,0,4
64,task_only,8,8,4,12,0,4
64,task_only,9,7,0,7,0,7
64,task_only,10,7,3,10,0,4
64,task_only,11,8,9,17,1,1
64,task_only,12,5,2,7,0,3
64,task_only,13,4,2,6,0,2
64,task_only,14,4,0,4,0,4
64,task_only,15,8,2,10,0,6
64,task_only,16,1,0,1,0,1
