case_id,payload,seed,query_budget,matched_budget_status,status,valid_completed,success,method_failure,invalid_excluded,pending,accepted,verifier_success,decoded_payload,ownership_score,exact_response_match_ratio,top_k_response_match_ratio,exact_response_match_count,top_k_response_match_count,threshold,target_far,utility_acceptance_rate,utility_status,expected_response_probability_mean,expected_response_probability_min,training_compute_seconds,embedding_compute_seconds,model_forward_count,contract_hash_status,contract_hash_missing_fields,contract_hash_mismatch_fields,baseline_contract_hash,failure_reason,run_dir,case_root,eval_summary_path
perinucleus_q1_U00_s17,U00,17,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.009780215099453926,0.009780215099453926,0.0,0.8386833667755127,1,match,,,10e1853f2b44ee5788b0967156a648244648bcd4174faebab9b9dbcee90c6270,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U00_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852176036Z,baselines/perinucleus_qwen/final/q1/U00_s17,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U00_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852176036Z/eval_summary.json
perinucleus_q1_U03_s17,U03,17,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.011692331172525883,0.011692331172525883,0.0,0.9092426300048828,1,match,,,4a32016630218278a38826ae10460ea81e84ecf837a287f0c745531541d80029,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U03_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852214541Z,baselines/perinucleus_qwen/final/q1/U03_s17,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U03_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852214541Z/eval_summary.json
perinucleus_q1_U12_s17,U12,17,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.011692331172525883,0.011692331172525883,0.0,1.1081197261810303,1,match,,,7b23a67cfb22950d5e3768b683feec9d9b489dc4106786ad5ddecc464586397c,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U12_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852249075Z,baselines/perinucleus_qwen/final/q1/U12_s17,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U12_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852249075Z/eval_summary.json
perinucleus_q1_U15_s17,U15,17,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.013978281989693642,0.013978281989693642,0.0,0.9866223335266113,1,match,,,be9b907842b70453d16308ecfc35258d024694b5de7a32a2aa7b6ad738177546,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U15_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852276578Z,baselines/perinucleus_qwen/final/q1/U15_s17,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U15_s17/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s17__c5b79aa__20260428T202852276578Z/eval_summary.json
perinucleus_q1_U00_s23,U00,23,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.011692331172525883,0.011692331172525883,0.0,1.0138721466064453,1,match,,,0a21439b2c8ce49877d9a8e5a47446a4fb64c0aa9b93a27d46efe06db99bd93b,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U00_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852303560Z,baselines/perinucleus_qwen/final/q1/U00_s23,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U00_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852303560Z/eval_summary.json
perinucleus_q1_U03_s23,U03,23,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.009780215099453926,0.009780215099453926,0.0,1.1829900741577148,1,match,,,7d17a502c5fdd27d91f9e07af6703b80748ba6bcda3dea1ac6f9fcb0d5c87089,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U03_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852333371Z,baselines/perinucleus_qwen/final/q1/U03_s23,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U03_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852333371Z/eval_summary.json
perinucleus_q1_U12_s23,U12,23,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.013978281989693642,0.013978281989693642,0.0,1.0610454082489014,1,match,,,a8dc05b4219b8788ef0afae71d29068fbeaf69dacf152160a88e622362650b33,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U12_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852360406Z,baselines/perinucleus_qwen/final/q1/U12_s23,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U12_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852360406Z/eval_summary.json
perinucleus_q1_U15_s23,U15,23,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.009780215099453926,0.009780215099453926,0.0,1.0128593444824219,1,match,,,b73a68279be5d049569e4f9bf003f10f01f668ce785a6d7c8190aca2c987a570,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U15_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852395004Z,baselines/perinucleus_qwen/final/q1/U15_s23,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U15_s23/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s23__c5b79aa__20260428T202852395004Z/eval_summary.json
perinucleus_q1_U00_s29,U00,29,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.013978281989693642,0.013978281989693642,0.0,0.9867451190948486,1,match,,,070abdd6b7f610e7ff91ce2edddf22fdafb17c977bf1b23b795a4fcb1c5c02fe,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U00_s29/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s29__c5b79aa__20260428T202852424165Z,baselines/perinucleus_qwen/final/q1/U00_s29,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U00_s29/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s29__c5b79aa__20260428T202852424165Z/eval_summary.json
perinucleus_q1_U03_s29,U03,29,1,under_budget_diagnostic,completed,True,False,True,False,False,False,False,,0.0,0.0,0.0,0,0,1.0,0.01,0.0,not_evaluated_requires_shared_organic_utility_suite,0.02388426661491394,0.02388426661491394,0.0,1.0634040832519531,1,match,,,04568c004eac6f8781a8f58ee97d0a31b92956fe8448597cf7426f7d7cc6be93,response_match_failed_under_frozen_threshold,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen/final/q1/U03_s29/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s29__c5b79aa__20260428T202852450545Z,baselines/perinucleus_qwen/final/q1/U03_s29,/Users/guanjie/Documents/tokenizer_alignment/baselines/perinucleus_qwen/final/q1/U03_s29/runs/exp_eval/exp_eval__baseline_perinucleus__qwen2.5-7b-instruct__s29__c5b79aa__20260428T202852450545Z/eval_summary.json
