case_id,variant_id,variant_slug,block_count,payload,seed,case_root,status,failure_reasons,accepted_under_exact_gate,accepted_under_rs_gate,verifier_success,decoded_payload,decoded_payload_correct,block_count_correct,slot_bucket_accuracy,symbol_error_count,erasure_count,rs_correctable_under_2E_plus_S_lt_d,rs_recovered_payload,exact_slot_rate,bucket_correct_rate,match_ratio,final_loss,normalized_L_set_mean,target_bucket_mass_mean,target_bucket_mass_min,slot_margin_mean,slot_margin_min,checkpoint_selection_metric,checkpoint_selection_best_step,checkpoint_selection_best_metric_value,train_summary_path,eval_summary_path,training_health_path,compiled_verifier_report_path,included
B1_U00_s17,B1,b1,1,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U00_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U03_s17,B1,b1,1,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U03_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U12_s17,B1,b1,1,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U12_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U15_s17,B1,b1,1,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U15_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U00_s23,B1,b1,1,U00,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U00_s23,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U03_s23,B1,b1,1,U03,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U03_s23,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U12_s23,B1,b1,1,U12,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U12_s23,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U15_s23,B1,b1,1,U15,23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U15_s23,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U00_s29,B1,b1,1,U00,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U00_s29,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U03_s29,B1,b1,1,U03,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U03_s29,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U12_s29,B1,b1,1,U12,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U12_s29,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B1_U15_s29,B1,b1,1,U15,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b1/U15_s29,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B2_U00_s17,B2,b2,2,U00,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b2/U00_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B2_U03_s17,B2,b2,2,U03,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b2/U03_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B2_U12_s17,B2,b2,2,U12,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b2/U12_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
B2_U15_s17,B2,b2,2,U15,17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale_v2/final/b2/U15_s17,pending,,False,False,False,,False,False,0.0,0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,False
