case_id,variant_id,variant_slug,block_count,payload,seed,case_root,status,result_class,failure_reasons,exact_payload_recovered,rs_payload_recovered,block_count_correct,slot_bucket_accuracy,symbol_error_count,erasure_count,min_bucket_margin,mean_bucket_margin,target_bucket_mass_min,target_bucket_mass_mean,exact_gate_success,rs_gate_success,accepted_under_exact_gate,accepted_under_rs_gate,verifier_success,decoded_payload,decoded_payload_correct,rs_correctable_under_2E_plus_S_lt_d,rs_recovered_payload,exact_slot_rate,bucket_correct_rate,match_ratio,final_loss,normalized_L_set_mean,normalized_L_margin_mean,total_evidence_loss_mean,lambda_set,lambda_margin,margin_gamma,lambda_reg,checkpoint_selection_metric,checkpoint_selection_best_step,checkpoint_selection_best_metric_value,contract_hash_status,contract_hash_missing_fields,contract_hash_mismatch_fields,model_id_hash,tokenizer_id_hash,block_count_hash,fields_per_block_hash,field_order_hash,codebook_hash,bucket_partition_hash,payload_map_hash,train_contract_hash,eval_contract_hash,prompt_family_hash,generation_config_hash,verifier_contract_hash,rs_config_hash,adapter_checkpoint_hash,train_summary_path,eval_summary_path,training_health_path,compiled_verifier_report_path,latest_eval_input_path
B1_U00_s17,B1,b1,1,U00,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U00_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U01_s17,B1,b1,1,U01,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U01_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U02_s17,B1,b1,1,U02,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U02_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U03_s17,B1,b1,1,U03,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U03_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U04_s17,B1,b1,1,U04,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U04_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U05_s17,B1,b1,1,U05,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U05_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U06_s17,B1,b1,1,U06,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U06_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U07_s17,B1,b1,1,U07,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U07_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U08_s17,B1,b1,1,U08,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U08_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
B1_U09_s17,B1,b1,1,U09,17,/Users/guanjie/Documents/tokenizer_alignment/g3a_block_scale_v3/final/b1/U09_s17,pending,pending,missing_train_summary_or_eval_summary,False,False,False,0.0,0,0,missing,missing,0.0,0.0,False,False,False,False,False,,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,missing_hash,train_summary_or_eval_summary,,,,,,,,,,,,,,,,,,,,,
