workstream,scope,metric,n,mean,std,ci95_half_width
S1/C1,compiled-c3-r4,accepted_rate,4,1.0,0.0,0.0
S1/C1,compiled-c3-r4,verifier_success_rate,4,1.0,0.0,0.0
S1/C1,compiled-c3-r4,match_ratio,4,1.0,0.0,0.0
S1/C1,compiled-c3-r4,final_loss,4,7.2e-05,0.0,0.0
S2/C1,delimiter_scrub,accepted_before_rate,4,1.0,0.0,0.0
S2/C1,delimiter_scrub,accepted_after_rate,4,0.0,0.0,0.0
S2/C1,truncate_tail,accepted_before_rate,4,1.0,0.0,0.0
S2/C1,truncate_tail,accepted_after_rate,4,0.0,0.0,0.0
S2/C1,whitespace_scrub,accepted_before_rate,4,1.0,0.0,0.0
S2/C1,whitespace_scrub,accepted_after_rate,4,1.0,0.0,0.0
G3a-v3/C1,overall,erasure_count,144,0.0,0.0,0.0
G3a-v3/C1,overall,exact_gate_success,144,0.9861111111111112,0.11743834038236317,0.019181595595785986
G3a-v3/C1,overall,mean_bucket_margin,144,12.534333982217484,3.362125413246542,0.5491471508302685
G3a-v3/C1,overall,min_bucket_margin,144,10.983404029943426,3.148064757831535,0.5141839104458173
G3a-v3/C1,overall,rs_gate_success,144,0.9861111111111112,0.11743834038236317,0.019181595595785986
G3a-v3/C1,overall,slot_bucket_accuracy,144,0.9947916666666666,0.04645425978043619,0.007587529097471245
G3a-v3/C1,overall,symbol_error_count,144,0.020833333333333332,0.18581703912174477,0.03035011638988498
G3a-v3/C1,overall,exact_gate_success_rate,144,0.9861111111111112,,
G3a-v3/C1,overall,rs_gate_success_rate,144,0.9861111111111112,,
G3a-v3/C1,variant=B1,exact_gate_success_rate,48,1.0,,
G3a-v3/C1,variant=B1,rs_gate_success_rate,48,1.0,,
G3a-v3/C1,variant=B2,exact_gate_success_rate,48,0.9583333333333334,,
G3a-v3/C1,variant=B2,rs_gate_success_rate,48,0.9583333333333334,,
G3a-v3/C1,variant=B4,exact_gate_success_rate,48,1.0,,
G3a-v3/C1,variant=B4,rs_gate_success_rate,48,1.0,,
